key	ko-KR	zh-CN	en-US	ja-JP	zh-TW
SETTING_UPSTREAM_PROXY_USE_UPSTREAM_PROXY_TOOLTIP	설정 시 프록시를 사용하는 타 프로그램을 경유하여 소녀전선 서버에 접속	设置时，经由使用代理服务器的其他程序连接游戏	Connect to GF server via third-party program using Proxy when enabled	セットアップ時に、プロキシサーバーを使用して別のプログラム経由でゲームに接続します	勾選後將使用經由代理服务器的第三方程式連接遊戲
SETTING_PROXY_SERVER_GUIDE	사용 가이드	使用指南	Proxy Guide	使用ガイド	使用指南
SETTING_PROXY_SERVER_GUIDE_COMMENT	[font size='14']■ Android[/font][br]→ 설정[br]→ 네트워크 및 인터넷[br]→ Wi-Fi[br]→ 연결된 AP 설정[br]→ 고급 옵션[br]→ 프록시 '수동' 설정[br]→ 프록시 호스트 [font color='#8ec127']{0}[/font][br]→ 프록시 포트 [font color='#8ec127']{1}[/font][br]→ 소녀전선 (재)로그인[br][br] [font size='14']■ iOS[/font][br]→ 설정[br]→ Wi-Fi[br]→ 연결된 AP 설정[br]→ 프록시 구성[br]→ '수동' 설정[br]→ 서버 [font color='#8ec127']{0}[/font][br]→ 포트 [font color='#8ec127']{1}[/font][br]→ 소녀전선 (재)로그인[br] [br] [font size='14' color='#ff4500']■ 접속 불가 시[/font][br]→ 시작[br]→ 실행[br]→ cmd[br]→ ipconfig[br]→ 표시된 IPv4 주소로 시도[br] [br] [font size='14' color='#ff4500']■ 보안 정책 위반(코드 22) 발생 시[/font][br]→ 기기 프록시 설정 끄기[br]→ 소녀전선 실행[br]→ 로그인 직전까지 진행[br]→ 기기 프록시 설정 켜기[br]→ 소녀전선 (재)로그인	[font size='14']■ Android[/font][br]→ 设置[br]→ 网络与互联网[br]→ Wi-Fi[br]→ 连接的AP设置[br]→ 高级期权[br]→ 代理服务器设置提示‘被动’[br]→ 代理服务器主机 [font color='#8ec127']{0}[/font][br]→ 代理服务器端口编号 [font color='#8ec127']{1}[/font][br]→ 再登录少女前线[br][br] [font size='14']■ iOS[/font][br]→ 设置[br]→ Wi-Fi[br]→ 连接的AP设置[br]→ 代理服务器构成[br]→ ‘被动’设置[br]→ 服务器 [font color='#8ec127']{0}[/font][br]→ 端口 [font color='#8ec127']{1}[/font][br]→ 再登录少女前线[br] [br] [font size='14' color='#ff4500']■ 无法连接时[/font][br]→ 开始[br]→ 执行[br]→ cmd[br]→ ipconfig[br]→ 试图用表示的IPv4地址[br] [br] [font size='14' color='#ff4500']■ 违反安全政策(代码22)时[/font][br]→ 关闭代理服务器设置[br]→ 实行少女前线[br]→ 进行到登录前[br]→ 再打开代理服务器设置[br]→ 再登录少女前线	[font size='14']■ Android[/font][br]→ Settings[br]→ Network & Internet[br]→ Wi-Fi[br]→ Connected AP Setting[br]→ Advanced Options[br]→ Proxy 'Manual'[br]→ Proxy Hostname [font color='#8ec127']{0}[/font][br]→ Proxy Port [font color='#8ec127']{1}[/font][br]→ Girls Frontline (Re)Login[br][br] [font size='14']■ iOS[/font][br]→ Settings[br]→ Wi-Fi[br]→ Connected AP Setting[br]→ Configure Proxy[br]→ Set 'Manual'[br]→ Server [font color='#8ec127']{0}[/font][br]→ Port [font color='#8ec127']{1}[/font][br]→ Girls Frontline (Re)Login[br] [br] [font size='14' color='#ff4500']■ Can't Connect?[/font][br]→ Start[br]→ run[br]→ cmd[br]→ ipconfig[br]→ connect to IPv4 address[br] [br] [font size='14' color='#ff4500']■ If Security Policy Violation(Code 22) occurs[/font][br]→ Turn off Proxy setting from device[br]→ Launch Girls Frontline[br]→ Proceed until right before logging in[br]→ Turn on Proxy setting from device[br]→ Relaunch Girls Frontline	[font size='14']■ Android[/font][br]→ 設定[br]→ ネットワーク及びインターネット[br]→ Wi-Fi[br]→ 繋がったAP設定[br]→ 詳細設定項目[br]→ プロキシ '手動' 設定[br]→ プロキシホスト [font color='#8ec127']{0}[/font][br]→ プロキシポート [font color='#8ec127']{1}[/font][br]→ ドルフロ (再)ログイン[br][br] [font size='14']■ iOS[/font][br]→ 設定[br]→ Wi-Fi[br]→ 接続中のWi-fiをタップ[br]→ プロキシを構成[br]→ '手動' 設定[br]→ サーバー [font color='#8ec127']{0}[/font][br]→ ポート [font color='#8ec127']{1}[/font][br]→ ドルフロ (再)ログイン[br] [br] [font size='14' color='#ff4500']■ 接続ができない場合[/font][br]→ スタート[br]→ Windows システムツール[br]→ cmd[br]→ ipconfig[br]→ 表示された IPv4 アドレスで試してください[br] [br] [font size='14' color='#ff4500']■ セキュリティ政策違反(コード 22)が発生した場合[/font][br]→ 端末のプロキシ設定を切る[br]→ ドルフロ起動[br]→ ログイン直前まで進む[br]→ 端末のプロキシ設定[br]→ ドルフロ (再)ログイン	[font size='14']■ Android[/font][br]→ 設定[br]→ 網路[br]→ Wi-Fi[br]→ 設定連線中的網路[br]→ 進階[br]→Proxy設置為‘手動’[br]→ Proxy主機名稱 [font color='#8ec127']{0}[/font][br]→Proxy通訊埠 [font color='#8ec127']{1}[/font][br]→ 重新登入少女前線[br][br] [font size='14']■ iOS[/font][br]→ 設定[br]→ Wi-Fi[br]→ 設定連線中的網路[br]→ 設定代理伺服器[br]→ 變更為‘手動’[br]→ 伺服器 [font color='#8ec127']{0}[/font][br]→ 連接埠 [font color='#8ec127']{1}[/font][br]→ 重新登入少女前線[br] [br] [font size='14' color='#ff4500']■ 無法連接時[/font][br]→ 開始[br]→ 執行[br]→ cmd[br]→ ipconfig[br]→ 嘗試使用IPv4位置[br] [br] [font size='14' color='#ff4500']■ 違反安全政策(代碼22)時[/font][br]→ 關閉代理伺服器[br]→ 啟動少女前線[br]→ 進行到登入前[br]→ 開啟代理伺服器[br]→ 重新登入少女前線
SETTING_PACKET_FORGER_GROUP	패킷 변조	包伪造	Packet Forger	パケット改竄	偽造封包
SETTING_PACKET_FORGER_USE_RANDOM_HOME_BG	랜덤 기지 배경	Random Background	Random Background	ランダム背景	隨機背景
SETTING_PACKET_FORGER_USE_RANDOM_HOME_BG_COMMENT	기지 배경 [font color='#ffb400']{0}[/font]	Background [font color='#ffb400']{0}[/font]	Background [font color='#ffb400']{0}[/font]	背景 [font color='#ffb400']{0}[/font]	背景 [font color='#ffb400']{0}[/font]
SETTING_PACKET_FORGER_USE_RANDOM_HOME_BG_TOOLTIP	보유 기지 배경 중 랜덤한 배경으로 설정	보유 기지 배경 중 랜덤한 배경으로 설정	Randomly set base background on Login	보유 기지 배경 중 랜덤한 배경으로 설정	登錄時隨機設置基礎背景
SETTING_PACKET_FORGER_USE_RANDOM_ADJUTANT	랜덤 부관	随机副官	Random Adjutant	ランダム協助者	隨機協助者
SETTING_PACKET_FORGER_USE_RANDOM_ADJUTANT_COMMENT	인형 [font color='#ffb400']{0}[/font] 스킨 [font color='#ffb400']{1}[/font]	人形 [font color='#ffb400']{0}[/font] 皮肤 [font color='#ffb400']{1}[/font]	T-Doll [font color='#ffb400']{0}[/font] Skin [font color='#ffb400']{1}[/font]	協助者 [font color='#ffb400']{0}[/font] Skin [font color='#ffb400']{1}[/font]	人形 [font color='#ffb400']{0}[/font] 裝扮 [font color='#ffb400']{1}[/font]
SETTING_PACKET_FORGER_USE_RANDOM_ADJUTANT_TOOLTIP	소속 인형 중 랜덤한 인형으로 부관 설정	所属的人形中随机设置为副官	Randomly set a T-Doll as Adjutant on Login	所属人形の中からランダムに副官を設定	隨機設置所屬人形為協助者
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_DOLL_WHITELIST	부관 화이트리스트	副官白名单	Adjutant Whitelist	副官ホワイトリスト	協助者白名單
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_DOLL_WHITELIST_TOOLTIP	소속 인형 중 선택된 인형만 부관으로 등장하도록 설정[br][font color='#FFF44336']소속되지 않은 인형은 출현하지 않음[/font]	所属的人形中选择的人形设置为副官	Allow whitelisted T-Dolls as Adjutant[br][font color='#FFF44336']Locked T-Dolls will not appear[/font]	選択された人形が、協助者に登場するように設定する[br][font color='#FFF44336']所属していない人形は出現していない[/font]	將所選人形設置為協助者白名單[br][font color='#FFF44336']不會出現尚未獲取的人形[/font]
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_DOLL_BLACKLIST	부관 블랙리스트	副官黑名单	Adjutant Blacklist	協助者ブラックリスト	協助者黑名單
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_DOLL_BLACKLIST_TOOLTIP	설정된 인형은 등장하지 않음	设置所属的人形中只选择的人形才能作为副官[br][font color='#FFF44336]]没有所属的人形不会出现[/font]	Deny blacklisted T-Dolls as Adjutant	設定された人形は登場しない	設置的人形將不會成為協助者
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_WHITELITE	스킨 화이트리스트	皮肤白名单	Skin Whitelist	スキンホワイトリスト	裝扮白名單
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_WHITELITE_TOOLTIP	보유 스킨 중 선택된 스킨만 입고 등장하도록 설정[br][font color='#FFF44336']보유하지 않은 스킨은 입지 않음[/font]	设定只穿拥有的皮肤中选择的皮肤[br][font color='#FFF44336]]不穿不拥有的皮肤[/font]	Allow whitelisted Skins for Adjutant[br][font color='#FFF44336']Locked Skins will not appear[/font]	選択されたスキンのみ着て登場するように設定[br][font color='#FFF44336']保有していないスキンは選択できない[/font]	將所選服裝設置為裝扮白名單[br][font color='#FFF44336]]未擁有的服裝無法被設置[/font]
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_BLACKLIST	스킨 블랙리스트	皮肤黑名单	Skin Blacklist	スキンブラックリスト	裝扮黑名單
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_BLACKLIST_TOOLTIP	설정된 스킨은 등장하지 않음	设定不想看的皮肤	Deny blacklisted Skins for Adjutant	設定されたスキンは登場しない	設置的服裝將不會被裝扮
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN	부관 스킨	副官的皮肤	Adjutant Skin	協助者スキン	協助者的裝扮
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_TOOLTIP	부관 스킨을 설정	设定副官的皮肤	Set Adjutant's Skin	協助者のスキンを設定	設定協助者的裝扮
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_NORMAL	통상만	正常	Normal	通常	正常
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_SKIN	스킨만	皮肤	Skin	スキン	裝扮
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_SKIN_LIVE2D	Live2D 스킨만	Live2D 皮肤	Live2D Skin	Live2D スキン	Live2D
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_SKIN_CHILD	아동절 스킨만	儿童节皮肤	Child Skin	子供スキン	兒童節
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_SKIN_MOD	개조 스킨만	Mod 皮肤	Mod Skin	Modスキン	Mod裝扮
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SKIN_RANDOM	랜덤	随机	Random	ランダム	隨機
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SHAPE	부관 상태	副官的状况	Adjutant Status	協助者の状態	協助者的狀態
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SHAPE_TOOLTIP	부관 상태를 설정	设置副官的状况	Set Adjutant's Status	協助者の状態を設定	設置協助者的狀態
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SHAPE_NORMAL	통상만	正常	Normal	通常	正常
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SHAPE_WOUND	중상만	重创	Damaged	大破	重創
SETTING_PACKET_FORGER_RANDOM_ADJUTANT_SHAPE_RANDOM	랜덤	随机	Random	ランダム	隨機
SETTING_PACKET_FORGER_USE_RANDOM_SKIN	랜덤 부관 스킨	随机副官的皮肤	Random Adjutant Skin	ランダム協助者スキン	隨機協助者的裝扮
SETTING_PACKET_FORGER_USE_RANDOM_SKIN_TOOLTIP	설정된 부관의 스킨만 랜덤 설정	设置的副官的皮肤随机选择	Set random Skins for selected T-Dolls	設定された協助者のスキンだけランダムに設定	協助者的裝扮將被隨機選擇
SETTING_PACKET_FORGER_USE_UNLOCK_CENSOR	검열해제 모드	666模式	Uncensor Mode	規制解除モード	反和諧
SETTING_PACKET_FORGER_USE_UNLOCK_CENSOR_COMMENT	[a href='{0}']검열해제 패치[/a]로 추가 해제	[a href='{0}']用解除审查修补[/a]追加解除	Refer to [a href='{0}']link[/a] for additional uncensored patch	[a href='{0}']規制解除アップデート[/a]で追加解除[font color='#F44336'](JPサーバーは規制されていません）[/font]	解除和諧限制
SETTING_PACKET_FORGER_USE_UNLOCK_CENSOR_TOOLTIP	설정한 상태로 로그인 한 뒤 130/130/130/30 인형제조 후 재로그인 시 검열해제[br][font color='#F44336'](검열해제 확인 후 반드시 검열해제 설정을 체크해제할 것)[/font]	以设定的状态登录后 130/130/130/30 人形制造后再登录时解除审查[br][font color='#F44336'](确认解除审查后应该解除设置)[/font]	Log in after enabling and produce a T-Doll with 130/130/130/30 recipe then restart the game to enable uncensor.[br][font color='#F44336'](Uncheck after uncensor is enabled)[/font]	設定した状態でログインした後「130/130/130/30」人形製造して再ログインすると規制解禁[br][font color='#F44336'](規制解禁が確認できた後、必ず規制解禁ボタンチェックを外してください)[/font]	使用設定的狀態登錄後以「130/130/130/30」 製造人形後在登錄時反和諧[br][font color='#F44336'](確認反和諧後應取消勾選)[/font]
SETTING_PACKET_FORGER_USE_HIGH_QUALITY_GAMEDATA	고화질 일러 패치	High Quality Illustation	High Quality Illustation	高画質イラスト	高畫質
SETTING_PACKET_FORGER_USE_HIGH_QUALITY_GAMEDATA_TOOLTIP	설정한 상태로 소녀전선을 실행한 뒤 추가 데이터를 받으면 적용, 주간 업데이트 직후 오동작이 발생하면 체크를 풀 것	설정한 상태로 소녀전선을 실행한 뒤 추가 데이터를 받으면 적용, 주간 업데이트 직후 오동작이 발생하면 체크를 풀 것	Enable then restart the game to download to apply high quality illustration. Disable if the game malfunctions after weekly update.	設定した状態で少女前線を実行した後追加のデータを受信すると適用される[br]更新後に誤動作が発生した場合はチェックを外すこと	啟用後將重新啟動遊戲下載高畫質插圖。如果遊戲在每週維護後出現問題，請取消勾選。
SETTING_PACKET_FORGER_USE_HIGH_QUALITY_GAMEDATA_COMMENT	[font color='#F44336']영사/비리/한국 서버 대상[/font][br][u]검열해제 모드로 풀리지 않는 미검열 일러.[/u] [font color='#F44336']알리미와 연결이 끊길 시 저화질 일러로 돌아감.[/font] 알리미를 사용하지 않는 경우에도 유지하기 위해서는 [a href='https://gall.dcinside.com/micateam/1621629']링크[/a]를 참고. 영사/비리 서버 적용 시 [a href='https://gall.dcinside.com/micateam/1093011']링크[/a]를 참고하여 인증서 설치 후 사용가능. [font color='#F44336']스킨 선물 시 일러 잘림이 발생할 수 있으니 주의[/font]	[font color='#F44336']CN/KR Server ONLY[/font]	[font color='#F44336']CN/KR Server ONLY[/font]	[font color='#F44336']CN/KRサーバーのみ[/font]	[font color='#F44336']只可在國服/韓服使用[/font]
SETTING_PACKET_FORGER_USE_BYPASS_KR_SERVER	서버 우회	Bypass KR Server	Bypass KR Server	KRサーバーを経由する	Bypass KR Server
SETTING_PACKET_FORGER_USE_BYPASS_KR_SERVER_TOOLTIP	설정한 상태로 한국 서버 클라이언트로 로그인한 후 다른 서버 클라이언트로 로그인 시 우회 접속	설정한 상태로 한국 서버 클라이언트로 로그인한 후 다른 서버 클라이언트로 로그인 시 우회 접속	Log in with KR client then log in with CN/JP client while enabled to bypass respective server's log in and log in KR server with other server's client	設定した状態でKRクライアントにログインした後、別のサーバークライアントにログイン時にバイパス接続	설정한 상태로 한국 서버 클라이언트로 로그인한 후 다른 서버 클라이언트로 로그인 시 우회 접속
SETTING_PACKET_FORGER_USE_BYPASS_KR_SERVER_COMMENT	[font color='#F44336']한국 서버 대상[/font][br]영사/비리 클라 지원.[br][u]XD계정을 미리 입력하여 중섭 클라로 한섭 계정 접속하는 방식 사용.[/u] [u]영사 클라 권장[/u]. [a href='https://gall.dcinside.com/micateam/1489357']링크[/a]의 스크립트를 참고하여 제작되었음. [font color='#F44336']사용 시 발생하는 모든 책임은 사용자에게 있음을 유의[/font]	[font color='#F44336']KR Server ONLY[/font]	[font color='#F44336']KR Server ONLY[/font]	[font color='#F44336']KRサーバーのみ[/font]	[font color='#F44336']只可在韓服使用[/font]
SETTING_PACKET_FORGER_USE_BYPASS_KR_SERVER_OLD_WAY	기존 방식 사용	기존 방식 사용	기존 방식 사용	従来の方法を使用	使用上次的方法
SETTING_PACKET_FORGER_USE_BYPASS_KR_SERVER_OLD_WAY_COMMENT	기존 패킷캡쳐 방식. [u]한섭 로그인 후 중섭 로그인하는 방식 사용.[/u]	기존 패킷캡쳐 방식 사용, 한섭 로그인 후 중섭 로그인하는 방식	기존 패킷캡쳐 방식 사용, 한섭 로그인 후 중섭 로그인하는 방식	ログイン時に従来の方法を使用する	使用上次的方法登入
SETTING_PACKET_FORGER_BYPASS_KR_SERVER_USERNAME	사용자 이름 (XD계정)	ID (XD Account)	ID (XD Account)	ID (XD Account)	ID (XD Account)
SETTING_PACKET_FORGER_BYPASS_KR_SERVER_PASSWORD	비밀번호 (XD계정)	Password (XD Account)	Password (XD Account)	Password (XD Account)	Password (XD Account)
SETTING_PACKET_FORGER_USE_AUTO_FAIRY_SKILL	자동 요정스킬	Auto Fairy Skill	Auto Fairy Skill	戦闘妖精スキルの自動発動	自動釋放妖精技能
SETTING_PACKET_FORGER_USE_AUTO_FAIRY_SKILL_TOOLTIP	전역 중 자동 요정스킬을 강제로 변경, 설정한 상태로 로그인 시 반영	전역 중 자동 요정스킬을 강제로 변경, 설정한 상태로 로그인 시 반영	Force change Combat Fairy Auto switch. Setting applied upon Login.	ログイン時に戦闘妖精スキルの自動発動を強制的に切り替える	開啟後自動釋放戰鬥妖精技能
SETTING_PACKET_FORGER_USE_BLOCK_SANGVIS_SIM_PACKET	혼합훈련 패킷 차단	Block Coalition Drill	Block Coalition Drill	融合勢力訓練パケット遮断	關閉融合勢力技能演出
SETTING_PACKET_FORGER_USE_BLOCK_SANGVIS_SIM_PACKET_TOOLTIP	혼합훈련 완료 패킷을 차단하고 결과를 알림	혼합훈련 완료 패킷을 차단하고 결과를 알림	혼합훈련 완료 패킷을 차단하고 결과를 알림	融合勢力の訓練完了パケットを遮断し、結果を通知	關閉融合勢力技能演出後通知
SETTING_PACKET_FORGER_USE_TARGET_TRAIN_PACKET	표적훈련 추가	표적훈련 추가	Custom Target Train	任意の敵を訓練に追加	修改收藏標靶
SETTING_PACKET_FORGER_USE_TARGET_TRAIN_PACKET_TOOLTIP	설정된 적 제대를 표적훈련에 추가함. 재접속 시 반영. [a href='https://docs.google.com/spreadsheets/d/1rFsfroAEpfZdug260TKYY0ZYjweExtmpWD-ZtVR0D7s/edit?usp=sharing']적 제대 사전[/a]	설정된 적 제대를 표적훈련에 추가함. 재접속 시 반영. [a href='https://docs.google.com/spreadsheets/d/1w5-lmh47NQkl77deCadZWIhuux8u3HOSLxYNxVr3wLU/edit?usp=sharing']적 제대 사전[/a]	설정된 적 제대를 표적훈련에 추가함. 재접속 시 반영. [a href='https://docs.google.com/spreadsheets/d/1w5-lmh47NQkl77deCadZWIhuux8u3HOSLxYNxVr3wLU/edit?usp=sharing']Enemy Dictionary[/a]	設定された敵部隊をターゲット訓練に追加　再接続時に反映 [a href='https://docs.google.com/spreadsheets/d/1w5-lmh47NQkl77deCadZWIhuux8u3HOSLxYNxVr3wLU/edit?usp=sharing']敵部隊リスト[/a]	將設置好的敵人追加到收藏標靶中。需要重啟遊戲。[a href='https://docs.google.com/spreadsheets/d/1w5-lmh47NQkl77deCadZWIhuux8u3HOSLxYNxVr3wLU/edit?usp=sharing“]敵方隊伍圖鑑[/a]
SETTING_PACKET_FORGER_USE_DISABLE_CN_CENSOR	중섭 중상 검열해제	Disable CN Censored	Disable CN Censored	Disable CN Censored	關閉陸服合諧
SETTING_PACKET_FORGER_USE_DISABLE_CN_CENSOR_COMMENT	[a href='https://gall.dcinside.com/micateam/1664380']링크[/a]의 방법을 사용하여 해제	[a href='https://gall.dcinside.com/micateam/1664380']링크[/a]의 방법을 사용하여 해제	[a href='https://gall.dcinside.com/micateam/1664380']링크[/a]의 방법을 사용하여 해제	[a href='https://gall.dcinside.com/micateam/1664380']링크[/a]의 방법을 사용하여 해제	使用[a href='https://gall.dcinside.com/micateam/1664380']連接[/a]的方法解除
SETTING_RANDOM_ADJUTANT	랜덤 부관	随机副官	Random Adjutant	ランダム協助者	隨機協助者
SETTING_RANDOM_ADJUTANT_CATEGORY	범주 설정	副官的皮肤	Adjutant Skin	協助者スキン	協助者的裝扮
SETTING_RANDOM_ADJUTANT_CATEGORY_RANDOM	랜덤	随机	Random	ランダム	隨機
SETTING_RANDOM_ADJUTANT_CATEGORY_NORMAL	통상만	正常	Normal	通常	正常
SETTING_RANDOM_ADJUTANT_CATEGORY_SKIN	스킨만	皮肤	Skin	スキン	裝扮
SETTING_RANDOM_ADJUTANT_CATEGORY_LIVE2D	Live2D만	Live2D 皮肤	Live2D Skin	Live2D スキン	Live2D
SETTING_RANDOM_ADJUTANT_CATEGORY_MOD	개조만	Mod 皮肤	Mod Skin	Modスキン	Mod裝扮
SETTING_RANDOM_ADJUTANT_STATUS	상태 설정	副官的状况	Adjutant Status	協助者の状態	協助者的狀態
SETTING_RANDOM_ADJUTANT_SHAPE_RANDOM	랜덤	随机	Random	ランダム	隨機
SETTING_RANDOM_ADJUTANT_SHAPE_NORMAL	통상만	正常	Normal	通常	正常
SETTING_RANDOM_ADJUTANT_SHAPE_DAMAGED	중상만	重创	Damaged	大破	重創
SETTING_RANDOM_ADJUTANT_DOLL	인형	人形	T-Doll	人形	人形
SETTING_RANDOM_ADJUTANT_FAIRY	요정	妖精	Fairy	妖精	妖精
SETTING_RANDOM_ADJUTANT_SANGVIS	혼합세력	融合势力	Coalition	融合勢力	融合勢力
SETTING_RANDOM_ADJUTANT_HUMAN	인간	人儿	Human	人間	人類
SETTING_RANDOM_ADJUTANT_HOME	기지배경	背景	Background	背景	背景
SETTING_RANDOM_ADJUTANT_NORMAL	통상	正常	Normal	通常	正常
SETTING_RANDOM_ADJUTANT_AROUSAL	각성	覺醒	Arousal	覚醒	覺醒
SETTING_PACKET_FORGER_USE_EMPTY_FRIEND_DORM	친구숙소 가구 비우기	Empty Friend Dorm	Empty Friend Dorm	Empty Friend Dorm	隱藏好友宿舍家具
SETTING_PACKET_FORGER_USE_EMPTY_FRIEND_DORM_TOOLTIP	친구숙소의 가구를 보이지 않게 비워서 숙소 이동 느려짐을 방지	친구숙소의 가구를 보이지 않게 비워서 숙소 이동 느려짐을 방지	친구숙소의 가구를 보이지 않게 비워서 숙소 이동 느려짐을 방지	친구숙소의 가구를 보이지 않게 비워서 숙소 이동 느려짐을 방지	將好友的宿舍清空隱藏，增加宿舍間移動時的讀取速度
// Notification Setting					
SETTING_NOTIFICATION_COMPLETE_GROUP	완료 알림	完成通知	Complete	完了アラート	完成通知
SETTING_NOTIFICATION_COMPLETE_DISPATCHED_ECHELON	지원현황	支援现况	Dispatched Echelon	支援状況	後勤支援
SETTING_NOTIFICATION_COMPLETE_DISPATCHED_ECHELON_TOOLTIP	군수지원/자율작전 완료를 알림	通知完成后勤支援/自律作战	Notify Logistics/Auto-Battle completion)	後方支援/自律作戦完了をアラート	啟用後勤支援/自律作戰完成通知
SETTING_NOTIFICATION_COMPLETE_EXPLORE	탐색현황	探索现状	Explore	探索状況	前進營地
SETTING_NOTIFICATION_COMPLETE_EXPLORE_TOOLTIP	탐색 완료를 알림	通知完成探索	Notify Exploration completion	探索完了をアラート	啟用完成探索通知
SETTING_NOTIFICATION_COMPLETE_PRODUCE_DOLL	인형제조	人形制造	T-Doll Production	人形製造	人形製造
SETTING_NOTIFICATION_COMPLETE_PRODUCE_DOLL_TOOLTIP	인형제조 완료를 알림	通知完成人形制造	Notify T-Doll Production completion	人形製造完了をアラート	啟用人形製造完成通知
SETTING_NOTIFICATION_COMPLETE_PRODUCE_EQUIP	장비제조	装备制造	Equip Production	装備製造	裝備製造
SETTING_NOTIFICATION_COMPLETE_PRODUCE_EQUIP_TOOLTIP	장비제조 완료를 알림	通知完成装备制造	Notify Equip Production completion	装備製造完了をアラート	啟用裝備製造完成通知
SETTING_NOTIFICATION_COMPLETE_TRAIN	훈련현황	训练现状	Skill Training	訓練状況	技能訓練
SETTING_NOTIFICATION_COMPLETE_TRAIN_TOOLTIP	훈련 완료를 알림	通知完成训练	Nofity Skill Training completion	訓練完了をアラート	啟用技能訓練完成通知
SETTING_NOTIFICATION_COMPLETE_RESTORE	수복현황	修复现况	Restore Doll	修理状況	修復狀況
SETTING_NOTIFICATION_COMPLETE_RESTORE_TOOLTIP	수복 완료를 알림	通知完成修复	Notify T-Doll Restore completion	修理完了をアラート	通知完成修复
SETTING_NOTIFICATION_COMPLETE_DATA_ANALYSIS	분석현황	解析现况	Data Analysis	分析状況	解析狀況
SETTING_NOTIFICATION_COMPLETE_DATA_ANALYSIS_TOOLTIP	정보분석 완료를 알림	通知完成情报解析	Notify Data Analysis completion	情報分析完了をアラート	啟用情報解析完成通知
SETTING_NOTIFICATION_COMPLETE_COMBAT_REPORT	작전보고서	作战报告	Combat Report	作戦報告書	作戰報告書
SETTING_NOTIFICATION_COMPLETE_COMBAT_REPORT_TOOLTIP	작전보고서 완료를 알림	通知完成作战报告	Notify Combat Report Production completion	作戦報告書の作成完了をアラート	啟用作戰報告書製作完成通知
SETTING_NOTIFICATION_COMPLETE_QUEST	임무 달성	完成任务	Quest Complete	任務達成	完成任務
SETTING_NOTIFICATION_COMPLETE_QUEST_TOOLTIP	임무 달성 시 알림	完成任务时通知	Notify when a Quest is completed	任務達成した場合アラート	啟用完成任務完成通知
SETTING_NOTIFICATION_MAXIMUM_GROUP	상한 알림	上限通知	Maximum	上限アラート	上限通知
SETTING_NOTIFICATION_MAXIMUM_SIM_POINT	모의작전점수	模拟作战体力	Max Sim Point	模擬作戦AP	基礎動能
SETTING_NOTIFICATION_MAXIMUM_SIM_POINT_TOOLTIP	설정된 모의작전점수 도달 시 알림	到设置的模拟作战体力时通知	Notify when a set amount of Sim Energy Point has reached	APが設定した値以上となった場合にアラート	達到設置的基礎動能時通知
SETTING_NOTIFICATION_MAXIMUM_SIM_POINT_UNIT	점	点	P	AP	點
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_SIM_POINT	혼합훈련점수	혼합훈련점수	Max Potential Energy Point	融合演習EP	融合演習
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_SIM_POINT_TOOLTIP	설정된 혼합훈련점수 도달 시 알림	설정된 혼합훈련점수 도달 시 알림	Notify when a set amount of Max Potential Energy Point has reached	EPが設定した値以上となった場合にアラート	達到設置的基礎勢能時通知
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_SIM_POINT_UNIT	점	점	P	EP	點
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_PULSE_POINT	전자기펄스	전자기펄스	Electronic Impulse	電子パルス	電子脈衝
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_PULSE_POINT_TOOLTIP	설정된 전자기펄스 용량 도달 시 알림	설정된 전자기펄스 용량 도달 시 알림	Notify when a set amount of Electronic Impulse has reached	電子パルスが設定した値以上となった場合にアラート	達到設置的電子脈衝時通知
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_PULSE_POINT_UNIT	개	개	개	発	發
SETTING_NOTIFICATION_READY_SANGVIS_RESCAN	목표수색	목표수색	Coalition Rescan	融合地区再スキャン	收歸行動重新搜索目標
